0.5	10018.8 9919.94414559129 10117.65585440871	18623.1 18195.082287124445 19051.11771287555	45999.99999999999 45999.99999999999 45999.99999999999	78.22 78.00509596867671 78.43490403132328	59.515 58.5845267111401 60.4454732888599	1:2
0.25	5653.399999999999 5626.568018400089 5680.231981599908	11769.099999999999 11411.839765261877 12126.36023473812	45999.99999999999 45999.99999999999 45999.99999999999	87.71 87.65166960521758 87.76833039478241	74.415 73.6383473157867 75.19165268421331	1:4
0.125	2874.9999999999995 2874.9999999999995 2874.9999999999995	8162.699999999999 7495.07681259049 8830.323187409507	45999.99999999999 45999.99999999999 45999.99999999999	93.75 93.75 93.75	82.255 80.80364524476194 83.70635475523805	1:8
0.0625	1379.9999999999998 1379.9999999999998 1379.9999999999998	6000.699999999999 5114.4803229957815 6886.919677004216	45999.99999999999 45999.99999999999 45999.99999999999	97.0 97.0 97.0	86.955 85.02843548477344 88.88156451522656	1:16
0.03125	689.9999999999999 689.9999999999999 689.9999999999999	5112.708333333332 4039.0857792094866 6186.330887457178	45999.99999999999 45999.99999999999 45999.99999999999	98.5 98.5 98.5	88.88541666666667 86.5514545924844 91.21937874084894	1:32
0.015625	344.99999999999994 344.99999999999994 344.99999999999994	2834.9999999999995 1945.5515382503008 3724.4484617496983	45999.99999999999 45999.99999999999 45999.99999999999	99.25 99.25 99.25	93.83695652173913 91.90337290923978 95.77054013423847	1:64

