0.5	5146.054000000009 5107.144630577694 5184.963369422324	9630.320000000009 9408.998289953252 9851.641710046766	23719.99999999995 23719.99999999995 23719.99999999995	78.30499999999991 78.14096387258711 78.4690361274127	59.39999999999987 58.466940514136645 60.333059485863096	1:2
0.25	2915.1880000000015 2903.0502561213125 2927.3257438786904	6086.552000000009 5867.112703766416 6305.991296233601	23719.99999999995 23719.99999999995 23719.99999999995	87.70999999999997 87.65882907302404 87.7611709269759	74.3399999999999 73.41487649142658 75.26512350857323	1:4
0.125	1482.4999999999993 1482.4999999999993 1482.4999999999993	4177.0920000000015 3888.337371648232 4465.846628351771	23719.99999999995 23719.99999999995 23719.99999999995	93.74999999999999 93.74999999999999 93.74999999999999	82.38999999999994 81.1726533374714 83.60734666252849	1:8
0.0625	711.5999999999999 711.5999999999999 711.5999999999999	2839.284 2503.550227336906 3175.017772663094	23719.99999999995 23719.99999999995 23719.99999999995	97.0 97.0 97.0	88.02999999999996 86.61459623666482 89.4454037633351	1:16
0.03125	355.8 355.8 355.8	2454.29387755102 1993.549866372758 2915.0378887292823	23719.99999999995 23719.99999999995 23719.99999999995	98.5 98.5 98.5	89.65306122448978 87.71063284684111 91.59548960213844	1:32
0.015625	177.89999999999995 177.89999999999995 177.89999999999995	1611.1936170212764 1014.5071113633159 2207.880122679237	23719.99999999995 23719.99999999995 23719.99999999995	99.25 99.25 99.25	93.20744680851062 90.69190504772664 95.72298856929461	1:64

